"numeroEvento","fechaInicio","fechaFin","duracionMinutos","codigoEstacionMayorAcumulado","valorMayorAcumulado","codigoEstacionMayorIntensidad","valorMayorIntensidad"
69,2012-10-12 19:00:00.000,2012-10-12 22:00:00.000,180.000000000000000,47,58.900000000000000,47,120.000000000000000
70,2012-10-13 14:50:00.000,2012-10-13 17:20:00.000,150.000000000000000,65,65.500000000000000,34,122.400000000000000
71,2012-10-14 14:10:00.000,2012-10-14 17:00:00.000,170.000000000000000,30,39.400000000000000,42,120.000000000000000
72,2012-10-15 12:45:00.000,2012-10-15 15:30:00.000,165.000000000000000,15,30.000000000000000,56,120.000000000000000
73,2012-10-16 10:40:00.000,2012-10-16 13:10:00.000,150.000000000000000,61,11.400000000000000,63,90.000000000000000
74,2012-10-16 13:50:00.000,2012-10-16 18:50:00.000,300.000000000000000,43,47.500000000000000,43,73.200000000000000
75,2012-10-17 17:30:00.000,2012-10-18 03:00:00.000,570.000000000000000,55,58.900000000000000,65,108.000000000000000
76,2012-10-18 11:30:00.000,2012-10-18 14:30:00.000,180.000000000000000,33,12.400000000000000,33,43.200000000000000
77,2012-10-19 16:00:00.000,2012-10-19 19:30:00.000,210.000000000000000,15,22.300000000000000,70,60.000000000000000
78,2012-10-20 14:30:00.000,2012-10-20 17:10:00.000,160.000000000000000,52,33.500000000000000,52,67.200000000000000
79,2012-10-20 20:30:00.000,2012-10-21 00:45:00.000,255.000000000000000,30,69.800000000000000,30,30.000000000000000
80,2012-10-21 00:00:00.000,2012-10-21 03:30:00.000,210.000000000000000,5,19.300000000000000,62,78.000000000000000
81,2012-10-21 18:30:00.000,2012-10-22 00:50:00.000,380.000000000000000,41,44.400000000000000,62,144.000000000000000
82,2012-10-22 14:00:00.000,2012-10-22 15:20:00.000,80.000000000000000,10,32.800000000000000,10,63.600000000000000
83,2012-10-23 16:50:00.000,2012-10-23 17:50:00.000,60.000000000000000,25,14.600000000000000,25,57.600000000000000
